fight	teams	N	N_order	N_winner	frac_order	frac_winner	W	rho
2013-1-A	3	7	5	7	0.7142857	1.0	0.7959184	0.9139269
2013-1-B	3	6	6	6	1.0	1.0	1.0	1.7358955
2013-1-C	3	5	2	5	0.4	1.0	0.7894737	0.8354141
2013-1-D	3	6	3	3	0.5	0.5	0.8484848	0.7536577
2013-1-E	2	5	3	3	0.6	0.6	0.04	1.5213327
2013-1-F	2	6	5	5	0.8333333	0.8333333	0.4444444	0.8532292
2013-2-A	2	6	1	1	0.1666667	0.1666667	0.4444444	0.7924645
2013-2-B	2	6	3	3	0.5	0.5	0.0	0.929516
2013-2-C	3	6	5	5	0.8333333	0.8333333	0.8611111	1.2328828
2013-2-D	3	5	5	5	1.0	1.0	1.0	0.855436
2013-2-E	3	6	4	4	0.6666667	0.6666667	0.7777778	0.8358628
2013-2-F	3	7	6	7	0.8571429	1.0	0.877551	0.8384105
2013-3-A	3	5	1	4	0.2	0.8	0.6	0.6692658
2013-3-B	3	5	3	4	0.6	0.8	0.64	0.6663411
2013-3-C	2	5	5	5	1.0	1.0	1.0	1.1473475
2013-3-D	2	5	5	5	1.0	1.0	1.0	0.6510208
2013-3-E	3	5	2	2	0.4	0.4	0.76	1.1524431
2013-3-F	3	6	1	6	0.1666667	1.0	0.8478261	0.8358628
2013-4-A	2	6	4	4	0.6666667	0.6666667	0.1111111	0.7720104
2013-4-B	3	5	4	4	0.8	0.8	0.9578947	0.4533529
2013-4-C	3	5	2	4	0.4	0.8	0.5333333	0.9107289
2013-4-D	3	6	1	2	0.1666667	0.3333333	0.2121212	0.6592925
2013-4-E	3	5	1	1	0.2	0.2	0.3111111	0.8970438
2013-4-F	2	6	6	6	1.0	1.0	1.0	0.995992
2013-S-A	3	6	2	3	0.3333333	0.5	0.3550725	0.850098
2013-S-B	3	8	2	5	0.25	0.625	0.3375	0.8770367
2013-S-C	4	8	3	7	0.375	0.875	0.58125	0.742062
2013-F-A	4	10	4	10	0.4	1.0	0.7646465	0.8112295
2014-1-A	2	6	4	4	0.6666667	0.6666667	0.3	1.4240787
2014-1-B	3	6	2	2	0.3333333	0.3333333	0.4855072	1.242578
2014-2-A	3	6	4	4	0.6666667	0.6666667	0.7777778	0.9715966
2014-2-B	2	6	6	6	1.0	1.0	1.0	0.7238784
2014-3-A	2	6	6	6	1.0	1.0	1.0	1.1696153
2014-3-B	3	6	5	6	0.8333333	1.0	0.8611111	1.068332
2014-4-A	3	6	4	4	0.6666667	0.6666667	0.7777778	0.7694154
2014-4-B	2	6	4	4	0.6666667	0.6666667	0.1111111	1.0677078
2014-F-A	3	7	3	3	0.4285714	0.4285714	0.5	0.6724288
2015-1-A	3	6	3	4	0.5	0.6666667	0.5833333	1.4669697
2015-1-B	2	6	6	6	1.0	1.0	1.0	0.8625543
2015-1-C	3	6	1	5	0.1666667	0.8333333	0.8043478	0.8033264
