fight	teams	N	N_order	N_winner	frac_order	frac_winner	W	rho
1990-1-A	3	11	2	10	0.1818182	0.9090909	0.8658009	0.8581472
1990-F-A	3	7	1	3	0.1428571	0.4285714	0.5510204	1.1704634
1993-1-A	3	7	5	5	0.7142857	0.7142857	0.7959184	0.9269208
1993-2-A	3	7	5	5	0.7142857	0.7142857	0.3265306	0.8041175
1993-2-B	3	7	3	4	0.4285714	0.5714286	0.5	1.3365124
1993-3-A	3	7	3	4	0.4285714	0.5714286	0.6190476	1.0391637
1993-3-C	3	7	4	6	0.5714286	0.8571429	0.3877551	1.0760552
1993-4-A	3	6	1	1	0.1666667	0.1666667	0.2727273	0.9605554
1993-4-C	3	7	2	4	0.2857143	0.5714286	0.2063492	1.3143909
1993-S-A	3	6	1	1	0.1666667	0.1666667	0.0072464	1.3033291
1996-2-D	4	6	1	2	0.1666667	0.3333333	0.4265537	1.1865918
1997-1-A	3	6	2	4	0.3333333	0.6666667	0.1944444	0.7949843
1997-S-A	3	7	1	1	0.1428571	0.1428571	0.077381	0.9183486
1998-1-C	3	5	1	2	0.2	0.4	0.0777778	0.9220957
1998-2-D	3	5	1	1	0.2	0.2	0.0736842	1.0716518
1998-3-E	3	5	2	2	0.4	0.4	0.8444444	0.9277268
2000-F-A	3	11	2	3	0.1818182	0.2727273	0.1645022	0.8382522
2001-1-B	3	6	2	4	0.3333333	0.6666667	0.3550725	0.7411703
2001-1-F	3	6	5	5	0.8333333	0.8333333	0.9637681	0.8066391
2001-2-E	3	6	2	4	0.3333333	0.6666667	0.25	1.1593101
2001-F-A	3	10	3	8	0.3	0.8	0.2794872	0.8176158
2002-1-B	4	7	3	5	0.4285714	0.7142857	0.6408163	0.7087417
2003-1-D	3	6	4	4	0.6666667	0.6666667	0.7777778	0.8839306
2003-2-A	4	6	1	5	0.1666667	0.8333333	0.6522989	0.7668116
2003-3-B	4	6	1	1	0.1666667	0.1666667	0.8163842	0.6737952
2003-4-F	3	6	3	6	0.5	1.0	0.7898551	0.9033272
2003-5-E	3	6	1	1	0.1666667	0.1666667	0.6594203	1.0302103
2003-F-A	3	11	1	5	0.0909091	0.4545455	0.0606061	0.6206851
2004-1-D	3	6	2	2	0.3333333	0.3333333	0.3550725	0.7321202
2005-1-A	4	5	1	1	0.2	0.2	0.7291667	0.7146623
2005-1-B	3	5	2	3	0.4	0.6	0.6	0.9934683
2005-1-C	3	5	3	4	0.6	0.8	0.7684211	0.625
