fight	G	P	G-P
2013-1-A	13.0	14.5	-1.5
2013-1-A	14.0	14.5	-0.5
2013-1-A	14.0	14.5	-0.5
2013-1-A	15.0	14.5	0.5
2013-1-A	17.0	14.5	2.5
2013-1-A	13.0	14.5	-1.5
2013-1-A	16.0	14.5	1.5
2013-1-A	11.0	12.33	-1.33
2013-1-A	9.0	12.33	-3.33
2013-1-A	15.0	12.33	2.67
2013-1-A	14.0	12.33	1.67
2013-1-A	12.0	12.33	-0.33
2013-1-A	13.0	12.33	0.67
2013-1-A	12.0	12.33	-0.33
2013-1-A	3.0	3.25	-0.25
2013-1-A	2.0	3.25	-1.25
2013-1-A	3.0	3.25	-0.25
2013-1-A	2.0	3.25	-1.25
2013-1-A	4.0	3.25	0.75
2013-1-A	4.0	3.25	0.75
2013-1-A	5.0	3.25	1.75
2013-1-A	26.0	21.83	4.17
2013-1-A	19.0	21.83	-2.83
2013-1-A	16.0	21.83	-5.83
2013-1-A	23.0	21.83	1.17
2013-1-A	22.0	21.83	0.17
2013-1-A	23.0	21.83	1.17
2013-1-A	23.0	21.83	1.17
2013-1-A	6.0	7.25	-1.25
2013-1-A	10.0	7.25	2.75
2013-1-A	2.0	7.25	-5.25
2013-1-A	11.0	7.25	3.75
2013-1-A	10.0	7.25	2.75
2013-1-A	4.0	7.25	-3.25
2013-1-A	7.0	7.25	-0.25
2013-1-A	8.0	6.42	1.58
2013-1-A	5.0	6.42	-1.42
2013-1-A	7.0	6.42	0.58
2013-1-A	5.0	6.42	-1.42
2013-1-A	7.0	6.42	0.58
2013-1-A	7.0	6.42	0.58
2013-1-A	6.0	6.42	-0.42
2013-1-A	16.0	14.75	1.25
2013-1-A	20.0	14.75	5.25
2013-1-A	17.0	14.75	2.25
2013-1-A	17.0	14.75	2.25
2013-1-A	14.0	14.75	-0.75
2013-1-A	7.0	14.75	-7.75
2013-1-A	11.0	14.75	-3.75
2013-1-A	10.0	10.5	-0.5
2013-1-A	10.0	10.5	-0.5
2013-1-A	14.0	10.5	3.5
2013-1-A	8.0	10.5	-2.5
2013-1-A	11.0	10.5	0.5
2013-1-A	11.0	10.5	0.5
2013-1-A	10.0	10.5	-0.5
2013-1-A	5.0	5.92	-0.92
2013-1-A	5.0	5.92	-0.92
2013-1-A	7.0	5.92	1.08
2013-1-A	8.0	5.92	2.08
2013-1-A	6.0	5.92	0.08
2013-1-A	5.0	5.92	-0.92
2013-1-A	6.0	5.92	0.08
2013-1-B	22.0	22.4	-0.4
2013-1-B	25.0	22.4	2.6
2013-1-B	27.0	22.4	4.6
2013-1-B	28.0	22.4	5.6
2013-1-B	16.0	22.4	-6.4
2013-1-B	16.0	22.4	-6.4
2013-1-B	2.0	7.2	-5.2
2013-1-B	12.0	7.2	4.8
2013-1-B	12.0	7.2	4.8
2013-1-B	10.0	7.2	2.8
2013-1-B	5.0	7.2	-2.2
2013-1-B	2.0	7.2	-5.2
2013-1-B	6.0	8.1	-2.1
2013-1-B	9.0	8.1	0.9
2013-1-B	8.0	8.1	-0.1
2013-1-B	9.0	8.1	0.9
2013-1-B	8.0	8.1	-0.1
2013-1-B	8.0	8.1	-0.1
2013-1-B	9.0	11.6	-2.6
2013-1-B	15.0	11.6	3.4
2013-1-B	15.0	11.6	3.4
2013-1-B	13.0	11.6	1.4
2013-1-B	9.0	11.6	-2.6
2013-1-B	9.0	11.6	-2.6
2013-1-B	7.0	7.3	-0.3
2013-1-B	9.0	7.3	1.7
2013-1-B	9.0	7.3	1.7
2013-1-B	7.0	7.3	-0.3
2013-1-B	6.0	7.3	-1.3
2013-1-B	6.0	7.3	-1.3
2013-1-B	6.0	6.6	-0.6
2013-1-B	6.0	6.6	-0.6
2013-1-B	8.0	6.6	1.4
2013-1-B	7.0	6.6	0.4
2013-1-B	6.0	6.6	-0.6
2013-1-B	7.0	6.6	0.4
2013-1-B	10.0	17.3	-7.3
2013-1-B	21.0	17.3	3.7
2013-1-B	27.0	17.3	9.7
2013-1-B	19.0	17.3	1.7
2013-1-B	14.0	17.3	-3.3
2013-1-B	14.0	17.3	-3.3
2013-1-B	8.0	11.2	-3.2
2013-1-B	10.0	11.2	-1.2
2013-1-B	14.0	11.2	2.8
2013-1-B	16.0	11.2	4.8
2013-1-B	9.0	11.2	-2.2
2013-1-B	11.0	11.2	-0.2
2013-1-B	3.0	3.5	-0.5
2013-1-B	5.0	3.5	1.5
2013-1-B	5.0	3.5	1.5
2013-1-B	2.0	3.5	-1.5
2013-1-B	2.0	3.5	-1.5
2013-1-B	4.0	3.5	0.5
2013-1-C	5.0	5.25	-0.25
2013-1-C	6.0	5.25	0.75
2013-1-C	5.0	5.25	-0.25
2013-1-C	3.0	5.25	-2.25
2013-1-C	7.0	5.25	1.75
2013-1-C	7.0	4.13	2.87
2013-1-C	4.0	4.13	-0.13
2013-1-C	2.0	4.13	-2.13
2013-1-C	4.0	4.13	-0.13
2013-1-C	4.0	4.13	-0.13
2013-1-C	3.0	3.75	-0.75
2013-1-C	3.0	3.75	-0.75
2013-1-C	4.0	3.75	0.25
2013-1-C	4.0	3.75	0.25
2013-1-C	5.0	3.75	1.25
2013-1-C	10.0	10.25	-0.25
2013-1-C	10.0	10.25	-0.25
2013-1-C	15.0	10.25	4.75
2013-1-C	7.0	10.25	-3.25
2013-1-C	10.0	10.25	-0.25
2013-1-C	12.0	9.25	2.75
2013-1-C	9.0	9.25	-0.25
2013-1-C	6.0	9.25	-3.25
2013-1-C	6.0	9.25	-3.25
2013-1-C	14.0	9.25	4.75
2013-1-C	4.0	4.88	-0.88
2013-1-C	4.0	4.88	-0.88
2013-1-C	5.0	4.88	0.12
2013-1-C	5.0	4.88	0.12
2013-1-C	7.0	4.88	2.12
2013-1-C	13.0	13.13	-0.13
2013-1-C	11.0	13.13	-2.13
2013-1-C	22.0	13.13	8.87
2013-1-C	9.0	13.13	-4.13
2013-1-C	13.0	13.13	-0.13
2013-1-C	8.0	8.13	-0.13
2013-1-C	8.0	8.13	-0.13
2013-1-C	9.0	8.13	0.87
2013-1-C	8.0	8.13	-0.13
2013-1-C	8.0	8.13	-0.13
2013-1-C	4.0	4.25	-0.25
2013-1-C	4.0	4.25	-0.25
2013-1-C	5.0	4.25	0.75
2013-1-C	3.0	4.25	-1.25
2013-1-C	5.0	4.25	0.75
2013-1-D	28.0	20.5	7.5
2013-1-D	22.0	20.5	1.5
2013-1-D	17.0	20.5	-3.5
2013-1-D	18.0	20.5	-2.5
2013-1-D	21.0	20.5	0.5
2013-1-D	19.0	20.5	-1.5
2013-1-D	10.0	16.2	-6.2
2013-1-D	16.0	16.2	-0.2
2013-1-D	17.0	16.2	0.8
2013-1-D	17.0	16.2	0.8
2013-1-D	17.0	16.2	0.8
2013-1-D	18.0	16.2	1.8
2013-1-D	4.0	2.8	1.2
2013-1-D	3.0	2.8	0.2
2013-1-D	2.0	2.8	-0.8
2013-1-D	3.0	2.8	0.2
2013-1-D	2.0	2.8	-0.8
2013-1-D	3.0	2.8	0.2
2013-1-D	23.0	22.5	0.5
2013-1-D	21.0	22.5	-1.5
2013-1-D	25.0	22.5	2.5
2013-1-D	23.0	22.5	0.5
2013-1-D	20.0	22.5	-2.5
2013-1-D	23.0	22.5	0.5
2013-1-D	12.0	8.2	3.8
2013-1-D	10.0	8.2	1.8
2013-1-D	6.0	8.2	-2.2
2013-1-D	8.0	8.2	-0.2
2013-1-D	7.0	8.2	-1.2
2013-1-D	7.0	8.2	-1.2
2013-1-D	7.0	7.1	-0.1
2013-1-D	7.0	7.1	-0.1
2013-1-D	7.0	7.1	-0.1
