fight	G	P	G-P
1990-1-A	12.0	13.5	-1.5
1990-1-A	12.0	13.5	-1.5
1990-1-A	18.0	13.5	4.5
1990-1-A	12.0	13.5	-1.5
1990-1-A	12.0	13.5	-1.5
1990-1-A	12.0	13.5	-1.5
1990-1-A	12.0	13.5	-1.5
1990-1-A	12.0	13.5	-1.5
1990-1-A	12.0	13.5	-1.5
1990-1-A	18.0	13.5	4.5
1990-1-A	18.0	13.5	4.5
1990-1-A	14.0	13.3	0.7
1990-1-A	14.0	13.3	0.7
1990-1-A	14.0	13.3	0.7
1990-1-A	8.0	13.3	-5.3
1990-1-A	12.0	13.3	-1.3
1990-1-A	12.0	13.3	-1.3
1990-1-A	14.0	13.3	0.7
1990-1-A	14.0	13.3	0.7
1990-1-A	14.0	13.3	0.7
1990-1-A	14.0	13.3	0.7
1990-1-A	14.0	13.3	0.7
1990-1-A	7.0	9.15	-2.15
1990-1-A	9.0	9.15	-0.15
1990-1-A	9.0	9.15	-0.15
1990-1-A	9.0	9.15	-0.15
1990-1-A	9.0	9.15	-0.15
1990-1-A	9.0	9.15	-0.15
1990-1-A	9.0	9.15	-0.15
1990-1-A	10.0	9.15	0.85
1990-1-A	9.0	9.15	-0.15
1990-1-A	10.0	9.15	0.85
1990-1-A	10.0	9.15	0.85
1990-1-A	18.0	19.95	-1.95
1990-1-A	21.0	19.95	1.05
1990-1-A	21.0	19.95	1.05
1990-1-A	18.0	19.95	-1.95
1990-1-A	12.0	19.95	-7.95
1990-1-A	21.0	19.95	1.05
1990-1-A	21.0	19.95	1.05
1990-1-A	21.0	19.95	1.05
1990-1-A	21.0	19.95	1.05
1990-1-A	21.0	19.95	1.05
1990-1-A	21.0	19.95	1.05
1990-1-A	14.0	16.9	-2.9
1990-1-A	18.0	16.9	1.1
1990-1-A	18.0	16.9	1.1
1990-1-A	12.0	16.9	-4.9
1990-1-A	14.0	16.9	-2.9
1990-1-A	18.0	16.9	1.1
1990-1-A	18.0	16.9	1.1
1990-1-A	18.0	16.9	1.1
1990-1-A	18.0	16.9	1.1
1990-1-A	18.0	16.9	1.1
1990-1-A	18.0	16.9	1.1
1990-1-A	7.0	7.35	-0.35
1990-1-A	7.0	7.35	-0.35
1990-1-A	7.0	7.35	-0.35
1990-1-A	7.0	7.35	-0.35
1990-1-A	7.0	7.35	-0.35
1990-1-A	7.0	7.35	-0.35
1990-1-A	9.0	7.35	1.65
1990-1-A	6.0	7.35	-1.35
1990-1-A	6.0	7.35	-1.35
1990-1-A	9.0	7.35	1.65
1990-1-A	9.0	7.35	1.65
1990-1-A	18.0	21.15	-3.15
1990-1-A	21.0	21.15	-0.15
1990-1-A	21.0	21.15	-0.15
1990-1-A	21.0	21.15	-0.15
1990-1-A	18.0	21.15	-3.15
1990-1-A	21.0	21.15	-0.15
1990-1-A	21.0	21.15	-0.15
1990-1-A	18.0	21.15	-3.15
1990-1-A	27.0	21.15	5.85
1990-1-A	27.0	21.15	5.85
1990-1-A	21.0	21.15	-0.15
1990-1-A	14.0	14.3	-0.3
1990-1-A	14.0	14.3	-0.3
1990-1-A	14.0	14.3	-0.3
1990-1-A	14.0	14.3	-0.3
1990-1-A	14.0	14.3	-0.3
1990-1-A	18.0	14.3	3.7
1990-1-A	12.0	14.3	-2.29
1990-1-A	12.0	14.3	-2.29
1990-1-A	14.0	14.3	-0.3
1990-1-A	14.0	14.3	-0.3
1990-1-A	18.0	14.3	3.7
1990-1-A	9.0	8.65	0.35
