fight	type	G	P	G-P
2012-1-307	Rep	12.0	12.0	0.0
2012-1-307	Rep	12.0	12.0	0.0
2012-1-307	Opp	4.0	3.0	1.0
2012-1-307	Opp	2.0	3.0	-1.0
2012-1-307	Rev	2.0	1.5	0.5
2012-1-307	Rev	1.0	1.5	-0.5
2012-1-307	Rep	15.0	13.5	1.5
2012-1-307	Rep	12.0	13.5	-1.5
2012-1-307	Opp	8.0	8.0	0.0
2012-1-307	Opp	8.0	8.0	0.0
2012-1-307	Rev	4.0	4.0	0.0
2012-1-307	Rev	4.0	4.0	0.0
2012-1-309	Rep	12.0	14.25	-2.25
2012-1-309	Rep	15.0	14.25	0.75
2012-1-309	Rep	15.0	14.25	0.75
2012-1-309	Opp	12.0	12.5	-0.5
2012-1-309	Opp	14.0	12.5	1.5
2012-1-309	Opp	12.0	12.5	-0.5
2012-1-309	Rev	6.0	6.25	-0.25
2012-1-309	Rev	7.0	6.25	0.75
2012-1-309	Rev	6.0	6.25	-0.25
2012-1-309	Rep	27.0	27.0	0.0
2012-1-309	Rep	27.0	27.0	0.0
2012-1-309	Rep	27.0	27.0	0.0
2012-1-309	Opp	14.0	14.0	0.0
2012-1-309	Opp	14.0	14.0	0.0
2012-1-309	Opp	14.0	14.0	0.0
2012-1-309	Rev	7.0	7.0	0.0
2012-1-309	Rev	7.0	7.0	0.0
2012-1-309	Rev	7.0	7.0	0.0
2012-1-316	Rep	15.0	18.0	-3.0
2012-1-316	Rep	18.0	18.0	0.0
2012-1-316	Rep	21.0	18.0	3.0
2012-1-316	Opp	10.0	9.5	0.5
2012-1-316	Opp	10.0	9.5	0.5
2012-1-316	Opp	8.0	9.5	-1.5
2012-1-316	Rev	5.0	4.75	0.25
2012-1-316	Rev	5.0	4.75	0.25
2012-1-316	Rev	4.0	4.75	-0.75
2012-1-316	Rep	15.0	15.75	-0.75
2012-1-316	Rep	18.0	15.75	2.25
2012-1-316	Rep	15.0	15.75	-0.75
2012-1-316	Opp	14.0	14.5	-0.5
2012-1-316	Opp	14.0	14.5	-0.5
2012-1-316	Opp	16.0	14.5	1.5
2012-1-316	Rev	7.0	7.25	-0.25
2012-1-316	Rev	7.0	7.25	-0.25
2012-1-316	Rev	8.0	7.25	0.75
2012-1-318	Rep	6.0	4.5	1.5
2012-1-318	Rep	3.0	4.5	-1.5
2012-1-318	Opp	6.0	9.0	-3.0
2012-1-318	Opp	12.0	9.0	3.0
2012-1-318	Rev	3.0	4.5	-1.5
2012-1-318	Rev	6.0	4.5	1.5
