fight	teams	N	N_order	N_winner	frac_order	frac_winner	W	rho
2012-1-307	2	2	2	2	1.0	1.0	1.0	0.0
2012-1-309	2	3	3	3	1.0	1.0	1.0	0.41833
2012-1-316	2	3	3	3	1.0	1.0	1.0	0.5448624
2012-1-318	2	2	1	1	0.5	0.5	0.0	0.0
2012-1-429	3	3	0	1	0.0	0.3333333	0.0333333	1.3540064
2012-2-307	2	3	2	2	0.6666667	0.6666667	0.1111111	0.6614378
2012-2-309	2	3	3	3	1.0	1.0	1.0	0.2795085
2012-2-316	2	3	3	3	1.0	1.0	1.0	1.4252193
2012-2-318	2	2	2	2	1.0	1.0	1.0	0.0
2012-2-429	3	3	2	2	0.6666667	0.6666667	0.9393939	0.6789238
2012-3-307	2	3	2	2	0.6666667	0.6666667	0.1111111	1.4895469
2012-3-309	2	3	1	1	0.3333333	0.3333333	0.0	1.3520817
2012-3-316	2	3	2	2	0.6666667	0.6666667	0.6666667	0.4677072
2012-3-318	2	3	3	3	1.0	1.0	1.0	0.6614378
2012-3-429	3	2	0	1	0.0	0.5	0.75	0.0
2012-4-307	2	2	1	1	0.5	0.5	0.0	0.0
2012-4-309	2	3	1	1	0.3333333	0.3333333	0.0	0.25
2012-4-316	2	3	1	1	0.3333333	0.3333333	0.1111111	0.7705518
2012-4-318	2	3	2	2	0.6666667	0.6666667	0.6666667	0.41833
2012-4-429	3	3	1	2	0.3333333	0.6666667	0.0909091	0.6692658
2012-final	3	5	4	5	0.8	1.0	0.84	1.4541607
2013-1-307a	2	3	1	1	0.3333333	0.3333333	0.1111111	2.3351927
2013-1-309	2	2	2	2	1.0	1.0	1.0	0.0
2013-1-316	2	2	1	1	0.5	0.5	0.0	0.0
2013-1-318	2	2	2	2	1.0	1.0	1.0	0.0
2013-1-321	2	2	1	1	0.5	0.5	0.5	0.0
2013-1-321a	2	2	1	1	0.5	0.5	0.5	0.0
2013-1-322	2	2	2	2	1.0	1.0	1.0	0.0
2013-1-405	2	2	2	2	1.0	1.0	1.0	0.0
2013-1-413	2	2	2	2	1.0	1.0	1.0	0.0
2013-2-307a	2	2	1	1	0.5	0.5	0.5	0.0
2013-2-309	2	2	2	2	1.0	1.0	1.0	0.0
2013-2-316	2	2	1	1	0.5	0.5	0.0	0.0
2013-2-318	2	3	2	2	0.6666667	0.6666667	0.6666667	0.6892024
2013-2-321	2	2	2	2	1.0	1.0	1.0	0.0
2013-2-321a	2	2	2	2	1.0	1.0	1.0	0.0
2013-2-322	2	2	2	2	1.0	1.0	1.0	0.0
2013-2-405	2	2	2	2	1.0	1.0	1.0	0.0
2013-2-413	2	2	1	1	0.5	0.5	0.5	0.0
2013-3-307a	2	2	2	2	1.0	1.0	1.0	0.0
2013-3-309	2	2	2	2	1.0	1.0	1.0	0.0
2013-3-316	2	2	2	2	1.0	1.0	1.0	0.0
2013-3-318	2	2	2	2	1.0	1.0	1.0	0.0
2013-3-321	2	2	2	2	1.0	1.0	1.0	0.0
2013-3-321a	2	2	2	2	1.0	1.0	1.0	0.0
2013-3-322	2	2	2	2	1.0	1.0	1.0	0.0
2013-3-405	2	2	1	1	0.5	0.5	0.0	0.0
2013-3-413	2	2	2	2	1.0	1.0	1.0	0.0
2013-4-307a	2	2	2	2	1.0	1.0	1.0	0.0
2013-4-309	2	2	0	0	0.0	0.0	0.0	0.0
2013-4-316	2	2	2	2	1.0	1.0	1.0	0.0
